model_id,units,dropout,num_layers,bidirectional,lr,batch_size,epochs,patience,test_mae,test_mse
0,32,0.1,1,False,1e-05,64,25,25,0.2808087170124054,0.08995985984802246
1,32,0.1,1,False,1e-05,128,25,25,0.24035021662712097,0.07035346329212189
2,32,0.1,1,False,0.0001,64,25,25,0.46750327944755554,0.24741682410240173
3,32,0.1,1,False,0.0001,128,25,25,0.4783444404602051,0.2577485144138336
4,32,0.1,1,False,0.001,64,25,25,0.648902416229248,0.4623320698738098
5,32,0.1,1,False,0.001,128,25,25,0.5277450680732727,0.3033164441585541
6,32,0.1,1,True,1e-05,64,25,25,0.29505327343940735,0.10412171483039856
7,32,0.1,1,True,1e-05,128,25,25,0.24765940010547638,0.06149294227361679
8,32,0.1,1,True,0.0001,64,25,25,0.3737911283969879,0.16269946098327637
9,32,0.1,1,True,0.0001,128,25,25,0.41074326634407043,0.202838733792305
10,32,0.1,1,True,0.001,64,25,25,0.43850234150886536,0.21917663514614105
11,32,0.1,1,True,0.001,128,25,25,0.3778710961341858,0.17435695230960846
12,32,0.1,2,False,1e-05,64,25,25,0.46571072936058044,0.09289108216762543
13,32,0.1,2,False,1e-05,128,25,25,0.4482777714729309,0.07919665426015854
14,32,0.1,2,False,0.0001,64,25,25,0.4429326057434082,0.22409912943840027
15,32,0.1,2,False,0.0001,128,25,25,0.5443389415740967,0.3462054431438446
16,32,0.1,2,False,0.001,64,25,25,0.41537219285964966,0.20392835140228271
17,32,0.1,2,False,0.001,128,25,25,0.4462127983570099,0.23388706147670746
18,32,0.1,2,True,1e-05,64,25,25,0.6162551641464233,0.09235502779483795
19,32,0.1,2,True,1e-05,128,25,25,0.6505852937698364,0.13429978489875793
20,32,0.1,2,True,0.0001,64,25,25,0.2772988975048065,0.10706876218318939
21,32,0.1,2,True,0.0001,128,25,25,0.22842752933502197,0.0896238163113594
22,32,0.1,2,True,0.001,64,25,25,0.3231993317604065,0.13748116791248322
23,32,0.1,2,True,0.001,128,25,25,0.32353687286376953,0.13737432658672333
24,32,0.1,3,False,1e-05,64,25,25,0.6896706223487854,0.10631918162107468
25,32,0.1,3,False,1e-05,128,25,25,0.6821759343147278,0.10060931742191315
26,32,0.1,3,False,0.0001,64,25,25,0.42808058857917786,0.20688316226005554
27,32,0.1,3,False,0.0001,128,25,25,0.4150802791118622,0.19416749477386475
28,32,0.1,3,False,0.001,64,25,25,0.38544777035713196,0.1753678321838379
29,32,0.1,3,False,0.001,128,25,25,0.39264845848083496,0.18017351627349854
30,32,0.1,3,True,1e-05,64,25,25,0.7461043000221252,0.07865365594625473
31,32,0.1,3,True,1e-05,128,25,25,0.7712864875793457,0.08474626392126083
32,32,0.1,3,True,0.0001,64,25,25,0.2968471646308899,0.11586946249008179
33,32,0.1,3,True,0.0001,128,25,25,0.2115049660205841,0.07781536132097244
34,32,0.1,3,True,0.001,64,25,25,0.3167151212692261,0.13509710133075714
35,32,0.1,3,True,0.001,128,25,25,0.2757422924041748,0.11015557497739792
36,32,0.2,1,False,1e-05,64,25,25,0.23276181519031525,0.061643555760383606
37,32,0.2,1,False,1e-05,128,25,25,0.30339527130126953,0.10916116088628769
38,32,0.2,1,False,0.0001,64,25,25,0.4976802170276642,0.2759852409362793
39,32,0.2,1,False,0.0001,128,25,25,0.497488409280777,0.2790800631046295
40,32,0.2,1,False,0.001,64,25,25,0.5184209942817688,0.30703333020210266
41,32,0.2,1,False,0.001,128,25,25,0.5468499064445496,0.3364547789096832
42,32,0.2,1,True,1e-05,64,25,25,0.4119125008583069,0.16414274275302887
43,32,0.2,1,True,1e-05,128,25,25,0.2874903678894043,0.08195021748542786
44,32,0.2,1,True,0.0001,64,25,25,0.42695873975753784,0.2085409164428711
45,32,0.2,1,True,0.0001,128,25,25,0.41495582461357117,0.19895663857460022
46,32,0.2,1,True,0.001,64,25,25,0.4304566979408264,0.21670162677764893
47,32,0.2,1,True,0.001,128,25,25,0.39136558771133423,0.18352828919887543
48,32,0.2,2,False,1e-05,64,25,25,0.44225195050239563,0.07297104597091675
49,32,0.2,2,False,1e-05,128,25,25,0.45411571860313416,0.0739307701587677
50,32,0.2,2,False,0.0001,64,25,25,0.44627639651298523,0.2253032624721527
51,32,0.2,2,False,0.0001,128,25,25,0.4743463099002838,0.2558550238609314
52,32,0.2,2,False,0.001,64,25,25,0.4240683913230896,0.21059875190258026
53,32,0.2,2,False,0.001,128,25,25,0.4005889892578125,0.19370701909065247
54,32,0.2,2,True,1e-05,64,25,25,0.6188651323318481,0.11644211411476135
55,32,0.2,2,True,1e-05,128,25,25,0.6044145822525024,0.09525863826274872
56,32,0.2,2,True,0.0001,64,25,25,0.27640005946159363,0.1094503402709961
57,32,0.2,2,True,0.0001,128,25,25,0.2589191198348999,0.10070396214723587
58,32,0.2,2,True,0.001,64,25,25,0.3112524151802063,0.130064457654953
59,32,0.2,2,True,0.001,128,25,25,0.31927770376205444,0.13391129672527313
60,32,0.2,3,False,1e-05,64,25,25,0.6244010329246521,0.07375463843345642
61,32,0.2,3,False,1e-05,128,25,25,0.645866334438324,0.08440075814723969
62,32,0.2,3,False,0.0001,64,25,25,0.45925194025039673,0.23961855471134186
63,32,0.2,3,False,0.0001,128,25,25,0.40921327471733093,0.18949879705905914
64,32,0.2,3,False,0.001,64,25,25,0.4205246567726135,0.20428074896335602
65,32,0.2,3,False,0.001,128,25,25,0.4441991448402405,0.22749656438827515
66,32,0.2,3,True,1e-05,64,25,25,0.7581470608711243,0.08331267535686493
67,32,0.2,3,True,1e-05,128,25,25,0.7817035913467407,0.0969935953617096
68,32,0.2,3,True,0.0001,64,25,25,0.32627782225608826,0.13594192266464233
69,32,0.2,3,True,0.0001,128,25,25,0.2891223132610321,0.11136727035045624
70,32,0.2,3,True,0.001,64,25,25,0.2969212830066681,0.12470653653144836
71,32,0.2,3,True,0.001,128,25,25,0.3087307810783386,0.1302276998758316
72,32,0.3,1,False,1e-05,64,25,25,0.23461058735847473,0.067699134349823
73,32,0.3,1,False,1e-05,128,25,25,0.2386317402124405,0.06531336158514023
74,32,0.3,1,False,0.0001,64,25,25,0.5541545152664185,0.3429757058620453
75,32,0.3,1,False,0.0001,128,25,25,0.5336647629737854,0.3198103904724121
76,32,0.3,1,False,0.001,64,25,25,0.5453665852546692,0.33221715688705444
77,32,0.3,1,False,0.001,128,25,25,0.534569263458252,0.322389155626297
78,32,0.3,1,True,1e-05,64,25,25,0.23951178789138794,0.0567731112241745
79,32,0.3,1,True,1e-05,128,25,25,0.38510894775390625,0.14796175062656403
80,32,0.3,1,True,0.0001,64,25,25,0.47943416237831116,0.2608940899372101
