Date_Time,Cycle_Index,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Ture_SOC,SOC_Cell
2023/7/13 12:18,21,-89.27757,55.99626,-4999.21002,487.6265,0.12855,0.844756398,0.800721917
2023/7/13 12:18,21,-89.6279,55.77862,-4999.32058,487.6265,0.25264,0.844593529,0.800503754
2023/7/13 12:18,21,-89.84065,55.64387,-4999.08145,487.6265,0.37713,0.844430123,0.800624978
2023/7/13 12:18,21,-89.97906,55.56144,-4999.36614,487.6265,0.50186,0.844266387,0.80055225
2023/7/13 12:18,21,-90.06621,55.50742,-4999.34295,487.6265,0.62678,0.844102388,0.800746147
2023/7/13 12:18,21,-90.10875,55.47837,-4999.08657,487.6265,0.75174,0.843938323,0.800066888
2023/7/13 12:18,21,-90.13612,55.46239,-4999.16464,487.6265,0.87676,0.843774166,0.800382474
2023/7/13 12:18,21,-90.14436,55.45422,-4998.88517,487.6265,1.0018,0.843609968,0.800115464
2023/7/13 12:18,21,-90.15781,55.45037,-4999.28392,487.6265,1.12686,0.84344573,0.80030968
2023/7/13 12:19,21,-90.15887,55.44938,-4999.25344,487.6265,1.25193,0.843281466,0.800600737
2023/7/13 12:19,21,-90.1635,55.44781,-4999.36862,487.6265,1.37702,0.843117161,0.799823875
2023/7/13 12:19,21,-90.16884,55.44086,-4999.03803,487.6265,1.5021,0.842952855,0.799264105
2023/7/13 12:19,21,-90.16599,55.44011,-4998.8124,487.6265,1.6272,0.842788509,0.799580641
2023/7/13 12:19,21,-90.18074,55.43736,-4999.38215,487.6265,1.75227,0.842624189,0.799337185
2023/7/13 12:19,21,-90.18329,55.43381,-4999.20336,487.6265,1.8774,0.842459777,0.799337185
2023/7/13 12:19,21,-90.18518,55.43141,-4999.09169,487.6265,2.00249,0.842295403,0.798678749
2023/7/13 12:19,21,-90.1875,55.42634,-4998.76304,487.6265,2.12758,0.842131015,0.798189977
2023/7/13 12:19,21,-90.20296,55.42045,-4999.08863,487.6265,2.25268,0.8419666,0.797258869
2023/7/13 12:19,21,-90.20793,55.41759,-4999.10608,487.6265,2.37783,0.841802105,0.797455158
2023/7/13 12:19,21,-90.21007,55.4138,-4998.88278,487.6265,2.50299,0.841637584,0.797700319
2023/7/13 12:19,21,-90.21872,55.41141,-4999.14648,487.6265,2.62814,0.841473062,0.797651305
2023/7/13 12:20,21,-90.22174,55.40832,-4999.03504,487.6265,2.75332,0.841308486,0.797381566
2023/7/13 12:20,21,-90.22606,55.40779,-4999.22659,487.6265,2.87848,0.841143923,0.797479684
2023/7/13 12:20,21,-90.22505,55.40715,-4999.11288,487.6265,3.00363,0.840979359,0.797945259
2023/7/13 12:20,21,-90.2308,55.40499,-4999.23657,487.6265,3.12881,0.840814742,0.796915023
2023/7/13 12:20,21,-90.23027,55.40231,-4998.96539,487.6265,3.25397,0.840650138,0.796865867
2023/7/13 12:20,21,-90.23862,55.39717,-4998.96417,487.6265,3.37917,0.840485467,0.795658767
2023/7/13 12:20,21,-90.24301,55.39595,-4999.09727,487.6265,3.50436,0.840320795,0.796299932
