Date_Time,Cycle_Index,Current(A),Voltage(V),Power(W),Ture_SOC,SOC_Cell
2023/7/13 12:18,21,-89.27757,55.99626,-4999.21002,0.844756398,0.800721917
2023/7/13 12:18,21,-89.6279,55.77862,-4999.32058,0.844593529,0.800503754
2023/7/13 12:18,21,-89.84065,55.64387,-4999.08145,0.844430123,0.800624978
2023/7/13 12:18,21,-89.97906,55.56144,-4999.36614,0.844266387,0.80055225
2023/7/13 12:18,21,-90.06621,55.50742,-4999.34295,0.844102388,0.800746147
2023/7/13 12:18,21,-90.10875,55.47837,-4999.08657,0.843938323,0.800066888
2023/7/13 12:18,21,-90.13612,55.46239,-4999.16464,0.843774166,0.800382474
2023/7/13 12:18,21,-90.14436,55.45422,-4998.88517,0.843609968,0.800115464
2023/7/13 12:18,21,-90.15781,55.45037,-4999.28392,0.84344573,0.80030968
2023/7/13 12:19,21,-90.15887,55.44938,-4999.25344,0.843281466,0.800600737
2023/7/13 12:19,21,-90.1635,55.44781,-4999.36862,0.843117161,0.799823875
2023/7/13 12:19,21,-90.16884,55.44086,-4999.03803,0.842952855,0.799264105
2023/7/13 12:19,21,-90.16599,55.44011,-4998.8124,0.842788509,0.799580641
2023/7/13 12:19,21,-90.18074,55.43736,-4999.38215,0.842624189,0.799337185
2023/7/13 12:19,21,-90.18329,55.43381,-4999.20336,0.842459777,0.799337185
2023/7/13 12:19,21,-90.18518,55.43141,-4999.09169,0.842295403,0.798678749
2023/7/13 12:19,21,-90.1875,55.42634,-4998.76304,0.842131015,0.798189977
2023/7/13 12:19,21,-90.20296,55.42045,-4999.08863,0.8419666,0.797258869
2023/7/13 12:19,21,-90.20793,55.41759,-4999.10608,0.841802105,0.797455158
2023/7/13 12:19,21,-90.21007,55.4138,-4998.88278,0.841637584,0.797700319
2023/7/13 12:19,21,-90.21872,55.41141,-4999.14648,0.841473062,0.797651305
2023/7/13 12:20,21,-90.22174,55.40832,-4999.03504,0.841308486,0.797381566
2023/7/13 12:20,21,-90.22606,55.40779,-4999.22659,0.841143923,0.797479684
2023/7/13 12:20,21,-90.22505,55.40715,-4999.11288,0.840979359,0.797945259
2023/7/13 12:20,21,-90.2308,55.40499,-4999.23657,0.840814742,0.796915023
2023/7/13 12:20,21,-90.23027,55.40231,-4998.96539,0.840650138,0.796865867
2023/7/13 12:20,21,-90.23862,55.39717,-4998.96417,0.840485467,0.795658767
2023/7/13 12:20,21,-90.24301,55.39595,-4999.09727,0.840320795,0.796299932
2023/7/13 12:20,21,-90.24805,55.39554,-4999.33946,0.840156069,0.796742937
2023/7/13 12:20,21,-90.24864,55.39548,-4999.36673,0.839991357,0.796669153
2023/7/13 12:20,21,-90.25113,55.39111,-4999.11027,0.83982663,0.796521524
2023/7/13 12:20,21,-90.25569,55.38831,-4999.11014,0.839661863,0.795411767
2023/7/13 12:20,21,-90.26357,55.38486,-4999.23519,0.839497082,0.794991356
2023/7/13 12:21,21,-90.25954,55.38486,-4999.01199,0.839332248,0.795609385
2023/7/13 12:21,21,-90.26611,55.38346,-4999.24949,0.839167466,0.796127458
2023/7/13 12:21,21,-90.27589,55.37984,-4999.46434,0.839002696,0.794867584
2023/7/13 12:21,21,-90.27962,55.37559,-4999.28722,0.838837833,0.794297519
2023/7/13 12:21,21,-90.27867,55.37395,-4999.08656,0.838672969,0.794272707
2023/7/13 12:21,21,-90.28105,55.37314,-4999.14522,0.838508052,0.794743757
2023/7/13 12:21,21,-90.28738,55.37215,-4999.40635,0.8383432,0.793776001
2023/7/13 12:21,21,-90.29384,55.36748,-4999.34238,0.838178256,0.79390026
2023/7/13 12:21,21,-90.2968,55.36468,-4999.25344,0.838013336,0.793875413
2023/7/13 12:21,21,-90.29941,55.35832,-4998.82363,0.837848324,0.793651685
2023/7/13 12:21,21,-90.30872,55.35663,-4999.1864,0.837683285,0.793776001
2023/7/13 12:21,21,-90.30652,55.35791,-4999.18021,0.837518258,0.793875413
2023/7/13 12:22,21,-90.31689,55.35616,-4999.59621,0.837353217,0.792829814
2023/7/13 12:22,21,-90.31854,55.35109,-4999.22964,0.837188136,0.792655167
2023/7/13 12:22,21,-90.2971,55.34805,-4997.76841,0.837023015,0.792230572
