数据点索引,预测SOC,真实SOC
0,0.2319925,0.18193974
1,0.23241067,0.18222195
2,0.23266888,0.1825043
3,0.23282978,0.18278651
4,0.23292886,0.18306875
5,0.2329962,0.183351
6,0.23304309,0.18363328
7,0.2330702,0.1839156
8,0.23308237,0.18419774
9,0.23325276,0.18448004
10,0.23335868,0.18476227
11,0.23342767,0.18504451
12,0.23347895,0.18532678
13,0.23351356,0.18560903
14,0.23355097,0.18589139
15,0.23357582,0.1861736
16,0.23358463,0.18645573
17,0.23359463,0.18673791
18,0.2336042,0.18702014
19,0.23361495,0.18730225
20,0.23362061,0.18758443
21,0.23361652,0.18786666
22,0.23361646,0.18814884
23,0.23361664,0.18843102
24,0.23362254,0.18871331
25,0.23362477,0.18899558
26,0.23362273,0.18927783
27,0.23362826,0.1895601
28,0.23363353,0.18984231
29,0.23363873,0.19012451
30,0.23365726,0.19040672
31,0.23367909,0.19068897
32,0.23369752,0.19097114
33,0.23371032,0.19125338
34,0.2337323,0.1915355
35,0.23374435,0.19181761
36,0.23376237,0.19209981
37,0.23378445,0.19238192
38,0.23380049,0.19266397
39,0.2338085,0.1929461
40,0.2338269,0.19322823
41,0.23385192,0.19351022
42,0.23387975,0.19379222
43,0.23390971,0.19407436
44,0.23393142,0.19435634
45,0.23396865,0.19463836
46,0.23400623,0.19492024
47,0.23404436,0.19520216
48,0.23407462,0.19548415
49,0.23411998,0.19576602
50,0.2341637,0.19604792
51,0.23421218,0.19632976
52,0.23425888,0.19661154
53,0.23430964,0.19689333
54,0.23436359,0.19717507
55,0.23440364,0.19745679
56,0.23444028,0.1977386
57,0.23447563,0.19802025
58,0.23450395,0.198302
59,0.23453991,0.19858365
60,0.23457187,0.19886526
61,0.23461482,0.19914694
62,0.23466542,0.19942859
63,0.23471016,0.19971019
64,0.23475175,0.19999166
65,0.23480852,0.20027335
66,0.23486839,0.2005549
67,0.23491684,0.20083646
68,0.2349591,0.20111795
69,0.23501672,0.20139943
70,0.23505084,0.20168085
71,0.23510045,0.20196243
72,0.23513153,0.20224382
73,0.23515765,0.20252524
74,0.23519918,0.20280662
75,0.23524046,0.20308802
76,0.23527485,0.2033694
77,0.2353044,0.20365071
78,0.2353382,0.2039321
79,0.2353659,0.20421337
80,0.23539601,0.20449473
81,0.2354261,0.20477605
82,0.23544498,0.20505732
83,0.23547436,0.20533867
84,0.23550999,0.20562007
85,0.2355518,0.20590132
86,0.23560064,0.20618251
87,0.23565887,0.20646387
88,0.23572026,0.20674515
89,0.23577137,0.20702633
90,0.23581901,0.20730744
91,0.23587088,0.20758854
92,0.23592776,0.20786966
93,0.23597547,0.20815082
94,0.23602468,0.2084319
95,0.23605832,0.20871297
96,0.23610885,0.20899408
97,0.23616983,0.20927513
98,0.23622128,0.20955613
99,0.23629226,0.20983711
100,0.23635158,0.21011804
101,0.2363968,0.21039902
102,0.23644991,0.21068001
103,0.23651518,0.21096087
104,0.23657046,0.21124187
105,0.23662324,0.2115227
106,0.23667398,0.21180356
107,0.23674211,0.21208447
108,0.23680949,0.2123653
109,0.23685896,0.21264611
110,0.23691809,0.21292692
111,0.23696041,0.21320777
112,0.2370121,0.21348855
113,0.23705631,0.21376932
114,0.23709972,0.21405005
115,0.2371255,0.21433078
116,0.2371729,0.21461146
117,0.23721264,0.21489227
118,0.237255,0.21517293
119,0.2373001,0.2154537
120,0.23735338,0.21573435
121,0.2374213,0.21601498
122,0.23749715,0.21629561
123,0.23759542,0.21657628
124,0.23766598,0.21685685
125,0.23773976,0.2171374
126,0.2377916,0.21741793
127,0.23786354,0.2176986
128,0.23793313,0.21797901
129,0.23800893,0.2182595
130,0.2381124,0.21854004
131,0.23821017,0.21882045
132,0.23829173,0.21910085
133,0.23837358,0.21938114
134,0.23847957,0.21966143
135,0.23859453,0.21994184
136,0.2386682,0.22022216
137,0.23878282,0.22050242
138,0.23889244,0.2207823
139,0.238957,0.22106208
140,0.23903112,0.22134186
141,0.23913716,0.22162162
142,0.23921192,0.22190145
143,0.23929672,0.22218125
144,0.23936728,0.22246104
145,0.23944885,0.22274077
146,0.2395513,0.22302054
147,0.23963888,0.22330034
148,0.23971967,0.22357993
149,0.23979701,0.22385955
150,0.23987025,0.22413921
151,0.23992164,0.2244189
152,0.24001598,0.22469866
153,0.24011023,0.2249783
154,0.24020685,0.22525793
155,0.2403225,0.22553746
156,0.24042764,0.2258171
157,0.24055415,0.22609673
158,0.2406769,0.22637625
159,0.24081285,0.22665569
160,0.24092022,0.22693521
161,0.24107027,0.22721468
162,0.24123654,0.2274942
163,0.24141578,0.22777352
164,0.24157271,0.22805299
165,0.2417218,0.2283323
166,0.24187033,0.22861156
167,0.24199714,0.2288909
168,0.24216476,0.22917014
169,0.24231349,0.22944926
170,0.24246429,0.22972836
171,0.24262105,0.23000766
172,0.24276964,0.23028685
173,0.24290372,0.23056601
174,0.24310696,0.2308451
175,0.24328464,0.2311241
176,0.24354135,0.23140314
177,0.24376805,0.23168226
178,0.24398813,0.23196124
179,0.24416508,0.23224019
180,0.2443608,0.23251913
181,0.24456719,0.23279804
182,0.24473101,0.23307692
183,0.24492031,0.23335588
184,0.24505788,0.2336348
185,0.2452457,0.23391372
186,0.24540144,0.23419261
187,0.24557287,0.23447149
188,0.24565479,0.2347502
189,0.24582292,0.23502906
190,0.24600783,0.23530783
191,0.2461549,0.23558658
192,0.24638769,0.23586532
193,0.24659346,0.23614414
194,0.24677722,0.23642287
195,0.24696207,0.2367016
196,0.24711135,0.23698038
197,0.24731795,0.23725908
198,0.24747658,0.23753773
199,0.24760953,0.23781624
200,0.24776173,0.2380948
201,0.24795105,0.23837346
202,0.248145,0.238652
203,0.24836552,0.23893057
204,0.24853273,0.23920906
205,0.2487493,0.23948748
206,0.24891397,0.23976597
207,0.2491714,0.24004434
208,0.24936399,0.24032274
209,0.2496716,0.24060123
210,0.2499106,0.2408796
211,0.25012773,0.24115793
212,0.25032288,0.24143623
213,0.25050548,0.24171466
214,0.25066173,0.24199279
215,0.2507556,0.24227116
216,0.25089952,0.24254933
217,0.25100875,0.2428275
218,0.25117505,0.24310571
219,0.25132155,0.24338394
220,0.25148225,0.24366221
221,0.25170067,0.24394037
222,0.25188294,0.24421842
223,0.2521083,0.24449657
224,0.2523019,0.24477471
225,0.25252947,0.24505281
226,0.25268072,0.24533089
227,0.25284213,0.24560891
228,0.25296417,0.24588692
229,0.25311813,0.246165
230,0.25323862,0.24644306
231,0.25334466,0.24672106
232,0.25356546,0.24699904
233,0.25365227,0.24727707
234,0.2539036,0.24755508
235,0.2540127,0.24783313
236,0.25416264,0.24811108
237,0.2543507,0.24838905
238,0.25446418,0.248667
239,0.25474405,0.24894498
240,0.2548677,0.24922282
241,0.25505385,0.24950075
242,0.25520003,0.24977876
243,0.2554575,0.25005668
244,0.25566205,0.25033453
245,0.25584665,0.25061244
246,0.25609437,0.25089034
247,0.25620458,0.25116807
248,0.2563843,0.251446
249,0.25659356,0.25172383
250,0.2568687,0.2520016
251,0.25701815,0.25227934
252,0.25729722,0.25255704
253,0.25750118,0.25283486
254,0.25769725,0.25311247
255,0.25801063,0.25339013
256,0.25829098,0.2536678
257,0.2584281,0.25394526
258,0.25853732,0.25422284
259,0.25875714,0.25450063
260,0.25899196,0.25477812
261,0.25918156,0.25505573
262,0.25932735,0.25533327
263,0.25940087,0.25561082
264,0.25958115,0.25588834
265,0.2597317,0.25616595
266,0.2598152,0.25644353
267,0.25983468,0.256721
268,0.25992313,0.2569987
269,0.2599972,0.2572762
270,0.26001805,0.2575538
271,0.26016635,0.2578314
272,0.2602038,0.25810894
273,0.26035056,0.25838652
274,0.26038313,0.25866413
275,0.26054987,0.25894165
276,0.260705,0.25921926
277,0.2608351,0.2594968
278,0.26101342,0.25977436
279,0.26117545,0.26005185
280,0.2612494,0.2603294
281,0.26148835,0.26060686
282,0.2616043,0.26088423
283,0.26176652,0.2611616
284,0.26183057,0.26143909
285,0.2619506,0.2617165
286,0.26206794,0.26199383
287,0.2622978,0.26227114
288,0.2624451,0.26254863
289,0.2625531,0.2628259
290,0.26263702,0.26310334
291,0.26282483,0.26338065
292,0.26309365,0.26365802
293,0.2633027,0.2639353
294,0.26352835,0.2642126
295,0.26375872,0.26448995
296,0.26394996,0.2647672
297,0.26420173,0.26504445
298,0.26444077,0.2653217
299,0.2646357,0.2655989
300,0.2647738,0.26587605
301,0.2649449,0.26615328
302,0.26506537,0.26643053
303,0.26528046,0.2667076
304,0.26542887,0.26698485
305,0.2655755,0.26726195
306,0.26576242,0.26753908
307,0.26606408,0.26781613
308,0.26623377,0.26809326
309,0.2665185,0.26837033
310,0.2666531,0.26864743
311,0.26678687,0.2689244
312,0.26703966,0.26920137
313,0.26727393,0.26947847
314,0.26752535,0.26975548
315,0.26771477,0.2700325
316,0.26782417,0.2703096
317,0.26803488,0.2705866
318,0.26826197,0.2708636
319,0.26837817,0.27114058
320,0.2684893,0.2714175
321,0.2686802,0.27169442
322,0.26887837,0.2719714
323,0.26910657,0.2722483
324,0.2692984,0.2725253
325,0.26950395,0.27280217
326,0.26958922,0.27307907
327,0.26983824,0.273356
328,0.27012888,0.27363274
329,0.27029213,0.27390957
330,0.27043164,0.27418634
331,0.27070707,0.2744631
332,0.27095678,0.2747399
333,0.27104706,0.2750167
334,0.2712727,0.27529332
335,0.27133852,0.27557015
336,0.2715525,0.2758469
337,0.27179274,0.27612373
338,0.27198482,0.27640042
339,0.2722138,0.2766771
340,0.27246156,0.27695358
341,0.27269763,0.27723026
342,0.27299517,0.27750692
343,0.2732788,0.27778357
344,0.27353275,0.27806017
345,0.27369833,0.2783368
346,0.273801,0.27861345
347,0.27408567,0.27889007
348,0.27433872,0.27916664
349,0.27444032,0.27944311
350,0.27462107,0.27971968
351,0.2747781,0.2799962
352,0.275118,0.28027278
353,0.27537283,0.2805493
354,0.27568063,0.28082573
355,0.27590573,0.28110215
356,0.27617815,0.28137845
357,0.27645323,0.28165492
358,0.276728,0.28193134
359,0.27694544,0.28220773
360,0.27719492,0.2824841
361,0.27734196,0.28276047
362,0.27765098,0.28303677
363,0.27793,0.28331313
364,0.2781576,0.28358948
365,0.27834255,0.28386575
366,0.27860627,0.28414205
367,0.278757,0.2844183
368,0.2789782,0.28469464
369,0.27931347,0.28497085
370,0.27954096,0.2852471
371,0.27970365,0.28552336
372,0.27985927,0.28579956
373,0.28014955,0.28607574
374,0.2803144,0.28635198
375,0.28055322,0.28662807
376,0.2807173,0.28690425
377,0.28095683,0.28718048
378,0.28125864,0.28745672
379,0.28141037,0.28773284
380,0.28163236,0.28800902
381,0.28177345,0.2882852
382,0.2820502,0.28856128
383,0.28224704,0.28883734
384,0.2824167,0.28911352
385,0.28268805,0.28938955
386,0.28292298,0.2896656
387,0.2831727,0.2899416
388,0.28350833,0.29021767
389,0.28385118,0.29049376
390,0.28395185,0.29076973
391,0.28428045,0.29104573
392,0.28449145,0.29132172
393,0.28468978,0.29159766
394,0.2850526,0.29187357
395,0.2852426,0.29214948
396,0.28535378,0.2924254
397,0.28562167,0.2927013
398,0.28581434,0.29297712
399,0.2861288,0.29325297
400,0.2863077,0.29352874
401,0.28654307,0.29380462
402,0.2867975,0.2940805
403,0.2869699,0.29435635
404,0.28732818,0.2946321
405,0.28762767,0.29490778
406,0.28790042,0.29518366
407,0.28825575,0.2954594
408,0.28850037,0.29573518
409,0.2886774,0.29601085
410,0.28896892,0.29628652
411,0.28923625,0.29656222
412,0.28952107,0.296838
413,0.2896392,0.29711366
414,0.28995353,0.2973893
415,0.29002067,0.29766503
416,0.29031584,0.29794058
417,0.29054648,0.29821625
418,0.29089284,0.2984919
419,0.29106835,0.2987674
420,0.29125386,0.29904306
421,0.29153368,0.29931864
422,0.2918433,0.29959422
423,0.29214916,0.29986978
424,0.29250425,0.30014518
425,0.29278934,0.30042064
426,0.29311824,0.30069613
427,0.29347602,0.3009717
428,0.2937587,0.30124715
429,0.29396114,0.30152264
430,0.2942083,0.301798
431,0.29433596,0.30207345
432,0.29467666,0.30234882
433,0.2949003,0.3026243
434,0.29509252,0.30289975
435,0.29536846,0.30317518
436,0.2956421,0.3034506
437,0.2958656,0.30372596
438,0.29612508,0.30400112
439,0.2962129,0.3042765
440,0.2965038,0.30455172
441,0.2967378,0.30482697
442,0.29698658,0.30510223
443,0.2970969,0.30537745
444,0.29721904,0.30565277
445,0.29751188,0.305928
446,0.2976677,0.3062032
447,0.29788184,0.3064785
448,0.29821953,0.30675375
449,0.29833928,0.30702892
450,0.2985717,0.30730402
451,0.2988393,0.30757916
452,0.29912737,0.30785432
453,0.29942444,0.30812946
454,0.29961348,0.30840465
455,0.2998237,0.3086798
456,0.30006966,0.30895486
457,0.30023688,0.30922997
458,0.30045548,0.30950502
459,0.3007201,0.30978018
460,0.30091488,0.3100553
461,0.30120102,0.3103304
462,0.30133337,0.31060544
463,0.30161104,0.3108805
464,0.3016712,0.31115553
465,0.30192682,0.31143066
466,0.30212015,0.31170565
467,0.3022568,0.31198058
468,0.3025276,0.31225556
469,0.3028005,0.31253058
470,0.303011,0.31280544
471,0.3031918,0.31308046
472,0.30348793,0.31335542
473,0.30380622,0.3136303
474,0.3040252,0.3139052
475,0.3043005,0.31418017
476,0.30442998,0.31445506
477,0.30473742,0.31472987
478,0.30499542,0.3150047
479,0.3052171,0.3152795
480,0.30554572,0.31555426
481,0.30576465,0.31582913
482,0.30599657,0.31610394
483,0.30622694,0.31637877
484,0.30639696,0.31665355
485,0.30668813,0.3169284
486,0.30696854,0.31720325
487,0.30715737,0.31747806
488,0.3073473,0.3177528
489,0.30775124,0.3180276
490,0.30798846,0.3183022
491,0.30807757,0.31857672
492,0.3082685,0.31885153
493,0.30862075,0.31912622
494,0.3088228,0.3194009
495,0.30903822,0.31967556
496,0.30933845,0.31995028
497,0.30945775,0.32022494
498,0.3096961,0.32049963
499,0.31004733,0.32077423
500,0.31025195,0.3210488
501,0.31049243,0.32132342
502,0.31067932,0.321598
503,0.31088787,0.3218726
504,0.31111422,0.32214713
505,0.31141442,0.3224217
506,0.3116954,0.3226962
507,0.3119172,0.3229707
508,0.31222895,0.32324517
509,0.3125616,0.32351962
510,0.31283927,0.32379422
511,0.3130531,0.3240686
512,0.31330928,0.324343
513,0.31349558,0.3246175
514,0.31385213,0.324892
515,0.31403,0.32516637
516,0.31424347,0.32544073
517,0.31447935,0.32571527
518,0.31455225,0.32598963
519,0.3148867,0.32626402
520,0.31516322,0.32653853
521,0.31554282,0.32681277
522,0.31574193,0.32708716
523,0.31612265,0.32736155
524,0.31626713,0.32763582
525,0.31640932,0.3279102
526,0.31660026,0.32818446
527,0.3170387,0.32845873
528,0.31719524,0.32873285
529,0.3174385,0.3290071
530,0.31774697,0.3292815
531,0.31789556,0.32955563
532,0.3182182,0.32982975
533,0.31843886,0.33010405
534,0.3185895,0.33037817
535,0.31887996,0.33065245
536,0.31920147,0.3309266
537,0.31942692,0.33120075
538,0.3196507,0.33147487
539,0.3199464,0.33174887
540,0.32020918,0.33202302
541,0.32034576,0.3322972
542,0.32051912,0.33257136
543,0.3208294,0.3328452
544,0.32106787,0.3331194
545,0.3214091,0.33339354
546,0.3215595,0.33366758
547,0.32184958,0.3339416
548,0.32214004,0.33421564
549,0.32236484,0.33448982
550,0.3226533,0.33476385
551,0.32296678,0.3350379
552,0.3231561,0.3353118
553,0.32338414,0.33558583
554,0.32357797,0.3358599
555,0.32385164,0.33613363
556,0.32419196,0.3364077
557,0.32440788,0.3366816
558,0.3245309,0.33695552
559,0.32485163,0.33722943
560,0.3250579,0.33750337
561,0.32539535,0.33777714
562,0.32560816,0.33805108
563,0.32593086,0.338325
564,0.32615817,0.3385988
565,0.32641217,0.33887258
566,0.3267154,0.33914638
567,0.3269554,0.33942017
568,0.3271593,0.33969396
569,0.32737878,0.33996776
570,0.3276446,0.34024158
571,0.32792625,0.34051538
572,0.328081,0.3407889
573,0.3283418,0.34106287
574,0.32848674,0.34133655
575,0.32881296,0.34161037
576,0.3290951,0.3418839
577,0.3293287,0.34215757
578,0.32959303,0.34243125
579,0.32986856,0.3427051
580,0.3301167,0.34297863
581,0.3303743,0.34325218
582,0.33059454,0.3435259
583,0.3309199,0.34379944
584,0.33121583,0.344073
585,0.33158424,0.3443467
586,0.33176953,0.3446201
587,0.332152,0.3448937
588,0.3323755,0.34516725
589,0.33267847,0.34544083
590,0.33296803,0.3457144
591,0.33336586,0.34598798
592,0.3336464,0.34626126
593,0.33391452,0.34653485
594,0.33416715,0.34680828
595,0.33450633,0.34708175
596,0.33476824,0.3473552
597,0.33510196,0.3476285
598,0.33532304,0.34790194
599,0.3356759,0.3481754
600,0.33586544,0.34844872
601,0.3360929,0.34872204
602,0.3364616,0.3489955
603,0.33665156,0.34926882
604,0.3368614,0.34954214
605,0.337024,0.3498155
606,0.3373009,0.35008895
607,0.33774394,0.3503623
608,0.33788586,0.35063562
609,0.33797118,0.3509091
610,0.3382392,0.3511823
611,0.33843818,0.35145566
612,0.33865684,0.35172886
613,0.33892184,0.35200223
614,0.33914065,0.35227543
615,0.33934948,0.35254866
616,0.33949423,0.35282186
617,0.3399127,0.35309508
618,0.34015927,0.3533683
619,0.3403223,0.35364154
620,0.3406105,0.35391462
621,0.34085822,0.354188
622,0.3409469,0.35446107
623,0.34130818,0.35473418
624,0.34155917,0.35500726
625,0.3418335,0.35528037
626,0.3420993,0.35555348
