model_id,units,dropout,num_layers,bidirectional,lr,batch_size,epochs,patience,test_mae,test_mse
0,32,0.1,1,False,1e-05,64,25,25,0.4733945429325104,0.2657542824745178
1,32,0.1,1,False,1e-05,128,25,25,0.2176884263753891,0.04564446210861206
2,32,0.1,1,False,0.0001,64,25,25,0.29968905448913574,0.12358924746513367
3,32,0.1,1,False,0.0001,128,25,25,0.6605690121650696,0.4970814287662506
4,32,0.1,1,False,0.001,64,25,25,0.4223425090312958,0.32854676246643066
5,32,0.1,1,False,0.001,128,25,25,0.43253323435783386,0.34923437237739563
6,32,0.1,1,True,1e-05,64,25,25,0.5024704337120056,0.23026300966739655
7,32,0.1,1,True,1e-05,128,25,25,0.6195457577705383,0.37297889590263367
8,32,0.1,1,True,0.0001,64,25,25,0.1781836599111557,0.04038490727543831
9,32,0.1,1,True,0.0001,128,25,25,0.21583950519561768,0.06171588599681854
10,32,0.1,1,True,0.001,64,25,25,0.217363178730011,0.08243700116872787
11,32,0.1,1,True,0.001,128,25,25,0.2951720952987671,0.15448246896266937
12,32,0.1,2,False,1e-05,64,25,25,0.6153239011764526,0.0464041605591774
13,32,0.1,2,False,1e-05,128,25,25,0.8172897100448608,0.18894095718860626
14,32,0.1,2,False,0.0001,64,25,25,0.21720294654369354,0.04528528079390526
15,32,0.1,2,False,0.0001,128,25,25,0.21280938386917114,0.04299263283610344
16,32,0.1,2,False,0.001,64,25,25,0.28409600257873535,0.13677626848220825
17,32,0.1,2,False,0.001,128,25,25,0.34974104166030884,0.2141798883676529
18,32,0.1,2,True,1e-05,64,25,25,0.9700065851211548,0.09659278392791748
19,32,0.1,2,True,1e-05,128,25,25,0.8871892690658569,0.048011187463998795
20,32,0.1,2,True,0.0001,64,25,25,0.2616237998008728,0.06289777904748917
21,32,0.1,2,True,0.0001,128,25,25,0.2750258147716522,0.0696006715297699
22,32,0.1,2,True,0.001,64,25,25,0.16676627099514008,0.0426640622317791
23,32,0.1,2,True,0.001,128,25,25,0.1766020655632019,0.05177194997668266
24,32,0.1,3,False,1e-05,64,25,25,1.0511269569396973,0.08683618903160095
25,32,0.1,3,False,1e-05,128,25,25,1.0741920471191406,0.10105294734239578
26,32,0.1,3,False,0.0001,64,25,25,0.26241594552993774,0.06421155482530594
27,32,0.1,3,False,0.0001,128,25,25,0.204382061958313,0.03135696426033974
28,32,0.1,3,False,0.001,64,25,25,0.2208997756242752,0.07689427584409714
29,32,0.1,3,False,0.001,128,25,25,0.22297795116901398,0.07812467962503433
30,32,0.1,3,True,1e-05,64,25,25,1.3744380474090576,0.10405685752630234
31,32,0.1,3,True,1e-05,128,25,25,1.3034305572509766,0.06681228429079056
32,32,0.1,3,True,0.0001,64,25,25,0.22863732278347015,0.03471900895237923
33,32,0.1,3,True,0.0001,128,25,25,0.24076716601848602,0.041311029344797134
34,32,0.1,3,True,0.001,64,25,25,0.15065689384937286,0.030475953593850136
35,32,0.1,3,True,0.001,128,25,25,0.15065449476242065,0.0335027314722538
36,32,0.2,1,False,1e-05,64,25,25,0.5736520290374756,0.3353603184223175
37,32,0.2,1,False,1e-05,128,25,25,0.31539186835289,0.11381889879703522
38,32,0.2,1,False,0.0001,64,25,25,0.2801525592803955,0.12489620596170425
39,32,0.2,1,False,0.0001,128,25,25,0.15746012330055237,0.031194675713777542
40,32,0.2,1,False,0.001,64,25,25,0.47163286805152893,0.43858087062835693
41,32,0.2,1,False,0.001,128,25,25,0.43081048130989075,0.3591046631336212
42,32,0.2,1,True,1e-05,64,25,25,0.39542102813720703,0.15297575294971466
43,32,0.2,1,True,1e-05,128,25,25,0.7239823341369629,0.47247058153152466
44,32,0.2,1,True,0.0001,64,25,25,0.2133800983428955,0.06638395041227341
45,32,0.2,1,True,0.0001,128,25,25,0.3614446520805359,0.16413022577762604
46,32,0.2,1,True,0.001,64,25,25,0.28357020020484924,0.13931027054786682
47,32,0.2,1,True,0.001,128,25,25,0.21670731902122498,0.07633843272924423
48,32,0.2,2,False,1e-05,64,25,25,0.7004498243331909,0.10737699270248413
49,32,0.2,2,False,1e-05,128,25,25,0.718543529510498,0.12829574942588806
50,32,0.2,2,False,0.0001,64,25,25,0.30036842823028564,0.09274306893348694
51,32,0.2,2,False,0.0001,128,25,25,0.22796885669231415,0.05794001370668411
52,32,0.2,2,False,0.001,64,25,25,0.28388795256614685,0.13555383682250977
53,32,0.2,2,False,0.001,128,25,25,0.26936841011047363,0.11974991858005524
54,32,0.2,2,True,1e-05,64,25,25,1.1565940380096436,0.2597813904285431
55,32,0.2,2,True,1e-05,128,25,25,0.9169420003890991,0.05466875433921814
56,32,0.2,2,True,0.0001,64,25,25,0.20656897127628326,0.0325142964720726
57,32,0.2,2,True,0.0001,128,25,25,0.21748672425746918,0.04120919480919838
58,32,0.2,2,True,0.001,64,25,25,0.157280832529068,0.03780461847782135
59,32,0.2,2,True,0.001,128,25,25,0.16007564961910248,0.0386013388633728
60,32,0.2,3,False,1e-05,64,25,25,1.0385921001434326,0.08097213506698608
61,32,0.2,3,False,1e-05,128,25,25,1.096474528312683,0.1299646943807602
62,32,0.2,3,False,0.0001,64,25,25,0.19353355467319489,0.030479496344923973
63,32,0.2,3,False,0.0001,128,25,25,0.2262839823961258,0.04098057374358177
64,32,0.2,3,False,0.001,64,25,25,0.25690510869026184,0.1083601638674736
65,32,0.2,3,False,0.001,128,25,25,0.22787635028362274,0.0812302902340889
66,32,0.2,3,True,1e-05,64,25,25,1.3407998085021973,0.09106151759624481
67,32,0.2,3,True,1e-05,128,25,25,1.3153997659683228,0.09007938951253891
68,32,0.2,3,True,0.0001,64,25,25,0.22996796667575836,0.03971366956830025
69,32,0.2,3,True,0.0001,128,25,25,0.26145994663238525,0.06303666532039642
70,32,0.2,3,True,0.001,64,25,25,0.1531280279159546,0.032089754939079285
71,32,0.2,3,True,0.001,128,25,25,0.14975281059741974,0.030763307586312294
72,32,0.3,1,False,1e-05,64,25,25,0.5113186836242676,0.29277297854423523
73,32,0.3,1,False,1e-05,128,25,25,0.24914473295211792,0.0670645609498024
74,32,0.3,1,False,0.0001,64,25,25,0.3742150068283081,0.1871480792760849
75,32,0.3,1,False,0.0001,128,25,25,0.32577911019325256,0.13927146792411804
76,32,0.3,1,False,0.001,64,25,25,0.45552313327789307,0.40082862973213196
77,32,0.3,1,False,0.001,128,25,25,0.42827680706977844,0.34270235896110535
78,32,0.3,1,True,1e-05,64,25,25,0.40816420316696167,0.14353032410144806
